sample_id,entity_id,date,split,country,location_name,target_nasa_power_precipitation_mm,target_open_meteo_precipitation_mm,target_baseline_two_source_mean_mm,target_nasa_reference_consensus_mm,target_open_meteo_reference_consensus_mm
SEA_BN_BANDAR_SERI_BEGAWAN__20200123,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-23,train,Brunei,Bandar Seri Begawan,0.01,0.5,0.255,0.0368548387096775,0.4731451612903224
SEA_BN_BANDAR_SERI_BEGAWAN__20200124,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-24,train,Brunei,Bandar Seri Begawan,0.04,0.2,0.12,0.02,0.3381451612903224
SEA_BN_BANDAR_SERI_BEGAWAN__20200125,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-25,train,Brunei,Bandar Seri Begawan,1.79,2.4,2.095,1.8768548387096773,2.3131451612903224
SEA_BN_BANDAR_SERI_BEGAWAN__20200126,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-26,train,Brunei,Bandar Seri Begawan,8.23,7.7,7.965,7.746854838709678,8.183145161290323
SEA_BN_BANDAR_SERI_BEGAWAN__20200127,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-27,train,Brunei,Bandar Seri Begawan,5.43,9.1,7.265,7.046854838709677,7.483145161290322
SEA_BN_BANDAR_SERI_BEGAWAN__20200128,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-28,train,Brunei,Bandar Seri Begawan,1.99,3.1,2.545,2.3268548387096777,2.7631451612903226
SEA_BN_BANDAR_SERI_BEGAWAN__20200129,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-29,train,Brunei,Bandar Seri Begawan,1.87,3.9,2.885,2.666854838709677,3.1031451612903225
SEA_BN_BANDAR_SERI_BEGAWAN__20200130,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-30,train,Brunei,Bandar Seri Begawan,0.41,2.3,1.355,1.1368548387096775,1.5731451612903224
SEA_BN_BANDAR_SERI_BEGAWAN__20200131,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-31,train,Brunei,Bandar Seri Begawan,0.22,1.3,0.76,0.5418548387096775,0.9781451612903224
SEA_BN_BANDAR_SERI_BEGAWAN__20200201,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-01,train,Brunei,Bandar Seri Begawan,0.37,0.9,0.635,0.7751769911504425,0.4948230088495575
SEA_BN_BANDAR_SERI_BEGAWAN__20200202,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-02,train,Brunei,Bandar Seri Begawan,0.15,3.7,1.925,2.0651769911504427,1.85
SEA_BN_BANDAR_SERI_BEGAWAN__20200203,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-03,train,Brunei,Bandar Seri Begawan,0.29,1.9,1.095,1.2351769911504424,0.9548230088495574
SEA_BN_BANDAR_SERI_BEGAWAN__20200204,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-04,train,Brunei,Bandar Seri Begawan,0.32,1.0,0.66,0.8001769911504425,0.5198230088495575
SEA_BN_BANDAR_SERI_BEGAWAN__20200205,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-05,train,Brunei,Bandar Seri Begawan,0.57,0.1,0.3349999999999999,0.4751769911504425,0.1948230088495574
SEA_BN_BANDAR_SERI_BEGAWAN__20200206,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-06,train,Brunei,Bandar Seri Begawan,0.05,0.8,0.425,0.5651769911504426,0.4
SEA_BN_BANDAR_SERI_BEGAWAN__20200207,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-07,train,Brunei,Bandar Seri Begawan,0.09,2.5,1.295,1.4351769911504424,1.25
SEA_BN_BANDAR_SERI_BEGAWAN__20200208,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-08,train,Brunei,Bandar Seri Begawan,1.71,14.4,8.055,8.195176991150444,7.914823008849558
SEA_BN_BANDAR_SERI_BEGAWAN__20200209,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-09,train,Brunei,Bandar Seri Begawan,6.36,13.9,10.13,10.270176991150445,9.98982300884956
SEA_BN_BANDAR_SERI_BEGAWAN__20200210,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-10,train,Brunei,Bandar Seri Begawan,5.22,0.5,2.86,3.0001769911504423,2.7198230088495574
SEA_BN_BANDAR_SERI_BEGAWAN__20200211,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-11,train,Brunei,Bandar Seri Begawan,0.73,0.0,0.365,0.5051769911504425,0.2248230088495574
SEA_BN_BANDAR_SERI_BEGAWAN__20200212,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-12,train,Brunei,Bandar Seri Begawan,1.15,1.9,1.525,1.6651769911504424,1.3848230088495574
SEA_BN_BANDAR_SERI_BEGAWAN__20200213,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-13,train,Brunei,Bandar Seri Begawan,0.1,1.6,0.8500000000000001,0.9901769911504426,0.8
SEA_BN_BANDAR_SERI_BEGAWAN__20200214,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-14,train,Brunei,Bandar Seri Begawan,1.37,9.2,5.285,5.425176991150442,5.144823008849557
SEA_BN_BANDAR_SERI_BEGAWAN__20200215,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-15,train,Brunei,Bandar Seri Begawan,132.74,7.0,69.87,70.01017699115044,69.72982300884956
SEA_BN_BANDAR_SERI_BEGAWAN__20200216,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-16,train,Brunei,Bandar Seri Begawan,62.72,16.8,39.76,39.900176991150445,39.61982300884956
SEA_BN_BANDAR_SERI_BEGAWAN__20200217,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-17,train,Brunei,Bandar Seri Begawan,4.51,3.0,3.755,3.8951769911504415,3.614823008849557
SEA_BN_BANDAR_SERI_BEGAWAN__20200218,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-18,train,Brunei,Bandar Seri Begawan,7.19,2.5,4.845000000000001,4.985176991150443,4.704823008849558
SEA_BN_BANDAR_SERI_BEGAWAN__20200219,SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-19,train,Brunei,Bandar Seri Begawan,3.93,0.6,2.265,2.4051769911504426,2.1248230088495577
